dia;fecha;mes;dia;hora;remitente;tiempo_respuesta;minutos
Sunday;2/6/2024;junio;2;12:13:35;Mama;0,000347222;0,50
Tuesday;4/6/2024;junio;4;07:43:46;Mama;0,006168981;8,88
Sunday;9/6/2024;junio;9;12:58:45;Mama;0,000868056;1,25
Sunday;30/6/2024;junio;30;21:49:31;Mama;0,000821759;1,18
Monday;1/7/2024;julio;1;14:58:48;Mama;0,005532407;7,97
Wednesday;3/7/2024;julio;3;11:00:20;Mama;0,000671296;0,97
Wednesday;3/7/2024;julio;3;19:22:27;Mama;0,001099537;1,58
Friday;5/7/2024;julio;5;11:36:31;Mama;0,013171296;18,97
Friday;5/7/2024;julio;5;18:52:39;Mama;0,001493056;2,15
Saturday;6/7/2024;julio;6;19:48:57;Mama;0,000243056;0,35
Sunday;7/7/2024;julio;7;11:28:55;Mama;0,001481481;2,13
Sunday;7/7/2024;julio;7;16:29:44;Mama;0,027268519;39,27
Monday;8/7/2024;julio;8;16:56:52;Mama;0,000451389;0,65
Tuesday;9/7/2024;julio;9;13:05:16;Mama;0,007534722;10,85
Friday;12/7/2024;julio;12;10:10:19;Mama;0,000543981;0,78
Monday;15/7/2024;julio;15;12:21:40;Mama;0,00130787;1,88
Monday;15/7/2024;julio;15;19:44:41;Mama;0,000324074;0,47
Wednesday;17/7/2024;julio;17;16:10:32;Mama;0,074618056;107,45
Sunday;4/8/2024;agosto;4;13:13:48;Mama;0,002685185;3,87
Thursday;8/8/2024;agosto;8;20:07:14;Mama;0,000324074;0,47
Sunday;11/8/2024;agosto;11;11:53:13;Mama;9,25926E-05;0,13
Monday;19/8/2024;agosto;19;11:10:07;Mama;0,000289352;0,42
Wednesday;21/8/2024;agosto;21;16:43:48;Mama;0,000462963;0,67
Thursday;22/8/2024;agosto;22;17:50:01;Mama;0,000127315;0,18
Saturday;24/8/2024;agosto;24;11:37:43;Mama;0,271435185;390,87
Sunday;25/8/2024;agosto;25;17:35:30;Mama;0,000810185;1,17
Monday;26/8/2024;agosto;26;19:52:41;Mama;0,001377315;1,98
Tuesday;3/9/2024;septiembre;3;07:43:44;Mama;0,000381944;0,55
Thursday;5/9/2024;septiembre;5;15:27:01;Mama;0,001747685;2,52
Sunday;8/9/2024;septiembre;8;19:46:56;Mama;0,000347222;0,50
Thursday;12/9/2024;septiembre;12;18:14:39;Mama;0,001666667;2,40
Monday;16/9/2024;septiembre;16;09:34:16;Mama;0,008784722;12,65
Friday;20/9/2024;septiembre;20;17:04:47;Mama;0,006886574;9,92
Sunday;22/9/2024;septiembre;22;09:58:51;Mama;0,455416667;655,80
Wednesday;25/9/2024;septiembre;25;09:59:10;Mama;0,004305556;6,20
Thursday;26/9/2024;septiembre;26;19:16:53;Mama;0,01224537;17,63
Sunday;29/9/2024;septiembre;29;11:52:24;Mama;0,000289352;0,42
Sunday;29/9/2024;septiembre;29;11:53:13;Mama;0,022696759;32,68
Monday;30/9/2024;septiembre;30;17:24:21;Mama;0,003113426;4,48
Tuesday;1/10/2024;octubre;1;11:49:37;Mama;0,001041667;1,50
Thursday;3/10/2024;octubre;3;10:29:12;Mama;0,002326389;3,35
Monday;7/10/2024;octubre;7;11:34:12;Mama;0,001099537;1,58
Tuesday;8/10/2024;octubre;8;11:21:31;Mama;0,004409722;6,35
Tuesday;8/10/2024;octubre;8;20:56:58;Mama;0,001736111;2,50
Wednesday;9/10/2024;octubre;9;19:38:34;Mama;0,010613426;15,28
Tuesday;15/10/2024;octubre;15;17:08:56;Mama;0,000416667;0,60
Wednesday;16/10/2024;octubre;16;09:10:52;Mama;0,002476852;3,57
Friday;18/10/2024;octubre;18;20:56:16;Mama;0,011203704;16,13
Saturday;19/10/2024;octubre;19;15:24:39;Mama;0,090219907;129,92
Tuesday;22/10/2024;octubre;22;13:15:41;Mama;0,148321759;213,58
Friday;25/10/2024;octubre;25;09:18:22;Mama;0,003599537;5,18
Saturday;26/10/2024;octubre;26;08:27:02;Mama;0,018773148;27,03
Monday;28/10/2024;octubre;28;09:28:59;Mama;0,000613426;0,88
Monday;28/10/2024;octubre;28;21:12:15;Mama;0,009363426;13,48
